Strike,IV
385.0,1.9081082771827957
385.369211514393,1.908071758773154
385.738423028786,1.9078943535759116
386.10763454317896,1.9075777334238864
386.47684605757195,1.9071229593076675
386.84605757196493,1.9065590469034328
387.2152690863579,1.905878519052604
387.58448060075096,1.9050713655100404
387.95369211514395,1.9041708342142318
388.32290362953694,1.9031800281691194
388.6921151439299,1.902066093993097
389.0613266583229,1.9008561555966663
389.4305381727159,1.899556818111563
389.7997496871089,1.8981983200332844
390.1689612015019,1.8967311191643292
390.53817271589486,1.8951899693020378
390.90738423028785,1.8936034552909342
391.27659574468083,1.8919237340496586
391.6458072590738,1.890170360580786
392.0150187734668,1.8883484507955357
392.38423028785985,1.886455476445276
392.75344180225284,1.88454782861059
393.1226533166458,1.8825379979982912
393.4918648310388,1.880486280074992
393.8610763454318,1.8783826965750814
394.2302878598248,1.8762271637500096
394.59949937421777,1.8740270038764444
394.96871088861076,1.8717934136831542
395.33792240300374,1.8694914262538178
395.70713391739673,1.8671795200083625
396.0763454317897,1.8648055473025336
396.4455569461827,1.8623980504386006
396.8147684605757,1.859963294643652
397.18397997496874,1.8574712162767482
397.5531914893617,1.8549776421552033
397.9224030037547,1.8524293674671917
398.2916145181477,1.849897567562877
398.6608260325407,1.8472724433614367
399.03003754693367,1.8446668193042082
399.39924906132666,1.8420273720613696
399.76846057571964,1.8393497585983345
400.13767209011263,1.836658454906901
400.5068836045056,1.8339516068099342
400.8760951188986,1.8312022518588529
401.2453066332916,1.8284734457072926
401.61451814768463,1.8256874729288248
401.9837296620776,1.8228901042118724
402.3529411764706,1.8200834649380642
402.7221526908636,1.817260114140208
403.0913642052566,1.8144367062277584
403.46057571964957,1.8115914955191073
403.82978723404256,1.8087215567029167
404.19899874843554,1.8058438279217608
404.56821026282853,1.8029690635447277
404.9374217772215,1.8000541802562933
405.3066332916145,1.7971464853979051
405.6758448060075,1.7942013463620043
406.0450563204005,1.791282655915969
406.41426783479346,1.788340953914349
406.7834793491865,1.7853920028170256
407.1526908635795,1.7824405682521351
407.5219023779725,1.779449916341535
407.89111389236547,1.7764992891747395
408.26032540675845,1.7734908883776543
408.62953692115144,1.7705123160587437
408.9987484355444,1.7675006132312177
409.3679599499374,1.7645044308455429
409.7371714643304,1.761491938922965
410.1063829787234,1.7584538531864835
410.4755944931164,1.755433416199654
410.84480600750936,1.752407173178374
411.2140175219024,1.749380816262168
411.5832290362954,1.746324245256213
411.9524405506884,1.743283683970661
412.32165206508137,1.7402166349617652
412.69086357947435,1.7371716769453625
413.06007509386734,1.7341150301842492
413.4292866082603,1.731029142573167
413.7984981226533,1.7279636516126036
414.1677096370463,1.7249060274310015
414.5369211514393,1.7218125224990821
414.9061326658323,1.7187241622711158
415.27534418022526,1.7156612896696823
415.64455569461825,1.7125291215285623
416.01376720901123,1.709440448142089
416.3829787234043,1.7063571411316838
416.75219023779727,1.703223384730629
417.12140175219025,1.700132777408236
417.49061326658324,1.6970220236028843
417.8598247809762,1.693894525648273
418.2290362953692,1.6907460418827638
418.5982478097622,1.6876463450152623
418.9674593241552,1.684503947693662
419.3366708385482,1.681385479095249
419.70588235294116,1.6782337996629282
420.07509386733415,1.6751028732104924
420.44430538172713,1.6719723964798971
420.8135168961202,1.668814064607613
421.18272841051316,1.6656555269109912
421.55193992490615,1.662500844492325
421.92115143929914,1.659348148117378
422.2903629536921,1.6561703859176269
422.6595744680851,1.6530009156626617
423.0287859824781,1.6498279896402672
423.3979974968711,1.6466605134832613
423.7672090112641,1.643475191753223
424.13642052565706,1.6402703360360402
424.50563204005005,1.6370907051800883
424.87484355444303,1.6339031402073672
425.244055068836,1.6307009171477935
425.613266583229,1.6274800541953465
425.98247809762205,1.624285624519493
426.35168961201504,1.6210884193564112
426.720901126408,1.6178594240150495
427.090112640801,1.6146630693462836
427.459324155194,1.6114318516822517
427.828535669587,1.6081811926819882
428.19774718397997,1.6049759862269137
428.56695869837296,1.6017348567697471
428.93617021276594,1.5984881729429228
429.30538172715893,1.5952425662033414
429.6745932415519,1.592000093727983
430.0438047559449,1.5887101821713565
430.41301627033795,1.5854691542161703
430.78222778473094,1.5822143077362925
431.1514392991239,1.578928732259612
431.5206508135169,1.5756667303512732
431.8898623279099,1.5723805171112097
432.2590738423029,1.5690861893097223
432.62828535669587,1.5658025412218008
432.99749687108886,1.5625030679890797
433.36670838548184,1.5592258318834673
433.73591989987483,1.5559067630189929
434.1051314142678,1.5525787388674601
434.4743429286608,1.5492864837289493
434.8435544430538,1.5459476154057485
435.2127659574468,1.5426236079195366
435.5819774718398,1.5393062429723325
435.9511889862328,1.535957276839581
436.3204005006258,1.5326396003929519
436.6896120150188,1.529291516312515
437.05882352941177,1.525945115605954
437.42803504380475,1.5226069640127804
437.79724655819774,1.5192339025204178
438.16645807259073,1.515853597760096
438.5356695869837,1.5125113746655263
438.9048811013767,1.5091347202159413
439.2740926157697,1.5057525838271428
439.6433041301627,1.5023746928487127
440.0125156445557,1.4989663099986454
440.3817271589487,1.4955828057517486
440.7509386733417,1.4921742594145442
441.1201501877347,1.4887635876077745
441.48936170212767,1.4853651094220441
441.85857321652065,1.481946920987342
442.22778473091364,1.4785321190625251
442.5969962453066,1.475092168327285
442.9662077596996,1.4716745149280372
443.3354192740926,1.4682307611895917
443.7046307884856,1.464797312393661
444.0738423028786,1.4613479893948138
444.44305381727156,1.4578847766934284
444.81226533166455,1.4544692936893764
445.1814768460576,1.450989084871066
445.5506883604506,1.4475110455578029
445.91989987484357,1.444047369362044
446.28911138923655,1.4405748898977146
